	Feature	Degree Centrality	Betweenness Centrality	Eigenvector Centrality	Clustering Coefficient	Community
12	SRW10	0.0300230946882217	0.0140221019146103	0.000285731443150232	0.730769230769231	Community 2
168	inter_2_VSAEstate6*MoreauBrotoAuto_FreeEnergy12	0.0277136258660508	0.000197004272644272	0.000217260763588315	0.924242424242424	Community 3
200	inter_2_VSAEstate6*PAAC30	0.0277136258660508	0.000197004272644272	0.000217260763588315	0.924242424242424	Community 3
253	inter_2_VSAEstate6*MoranAuto_Mutability2	0.0277136258660508	0.000197004272644272	0.000217260763588315	0.924242424242424	Community 3
23	ATSC1d	0.0277136258660508	0.0016212104549287	2.22674643070116E-05	0.848484848484848	Community 2
90	inter_2_VSAEstate6*MoreauBrotoAuto_AvFlexibility1	0.0277136258660508	0.000197004272644272	0.000217260763588315	0.924242424242424	Community 3
171	inter_2_VSAEstate6*LMI	0.0277136258660508	0.000197004272644272	0.000217260763588315	0.924242424242424	Community 3
259	inter_2_VSAEstate3*MoranAuto_FreeEnergy17	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
175	inter_2_PEOEVSA6*ALY	0.0254041570438799	0	0.000204227500336826	1	Community 3
188	inter_2_PEOEVSA6*DT	0.0254041570438799	0	0.000204227500336826	1	Community 3
272	inter_2_PEOEVSA6*DEN	0.0254041570438799	0	0.000204227500336827	1	Community 3
251	inter_2_VSAEstate3*PV	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
151	inter_2_EstateVSA8*GearyAuto_FreeEnergy12	0.0254041570438799	0	0.0133357341376809	1	Community 1
265	inter_2_PEOEVSA6*QSOSW31	0.0254041570438799	0	0.000204227500336827	1	Community 3
166	inter_2_VSAEstate3*MoranAuto_ResidueVol9	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
208	inter_2_VSAEstate3*GearyAuto_Polarizability20	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
266	inter_2_PEOEVSA6*tausw5	0.0254041570438799	0	0.000204227500336827	1	Community 3
136	inter_2_PEOEVSA6*464	0.0254041570438799	0	0.000204227500336826	1	Community 3
186	inter_2_PEOEVSA7*MoreauBrotoAuto_ResidueASA8	0.0254041570438799	0	0.00020535768937631	1	Community 3
133	inter_2_EstateVSA8*QT	0.0254041570438799	0	0.0133357341376809	1	Community 1
216	inter_2_PEOEVSA7*MoranAuto_Mutability14	0.0254041570438799	0	0.00020535768937631	1	Community 3
137	inter_2_VSAEstate3*MoreauBrotoAuto_Steric16	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
124	inter_2_PEOEVSA6*LTF	0.0254041570438799	0	0.000204227500336826	1	Community 3
193	inter_2_PEOEVSA6*GearyAuto_FreeEnergy18	0.0254041570438799	0	0.000204227500336826	1	Community 3
191	inter_2_VSAEstate3*LQM	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
118	inter_2_VSAEstate3*MoreauBrotoAuto_ResidueVol23	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
119	inter_2_VSAEstate3*MoranAuto_FreeEnergy6	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
122	inter_2_EstateVSA8*535	0.0254041570438799	0	0.0133357341376809	1	Community 1
214	inter_2_VSAEstate3*MoreauBrotoAuto_Hydrophobicity4	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
89	inter_2_VSAEstate3*MVT	0.0254041570438799	0	6.01321609450527E-06	1	Community 2
232	inter_2_PEOEVSA7*MoreauBrotoAuto_FreeEnergy27	0.0254041570438799	0	0.00020535768937631	1	Community 3
65	IC4	0.023094688221709	1.46226606484497E-05	0.000913998658309396	0.888888888888889	Community 2
385	MACCS_FP_72	0.023094688221709	9.62278675904542E-05	8.55267327477255E-09	0.8	Community 5
53	VSA_EState5	0.0207852193995381	0.00410766487454498	0.000179808517754217	0.777777777777778	Community 2
152	inter_2_PEOEVSA10*TFS	0.0207852193995381	0	8.45786785909417E-09	1	Community 5
236	inter_2_PEOEVSA10*FAF	0.0207852193995381	0	8.45786785909417E-09	1	Community 5
190	inter_2_PEOEVSA10*353	0.0207852193995381	0	8.45786785909417E-09	1	Community 5
86	inter_2_PEOEVSA10*_PolarizabilityD1100	0.0207852193995381	0	8.45786785909417E-09	1	Community 5
114	inter_2_PEOEVSA10*WEN	0.0207852193995381	0	8.45786785909417E-09	1	Community 5
94	inter_2_PEOEVSA10*VG	0.0207852193995381	0	8.45786785909417E-09	1	Community 5
229	inter_2_PEOEVSA10*744	0.0207852193995381	0	8.45786785909417E-09	1	Community 5
139	inter_2_PEOEVSA10*_PolarityD1001	0.0207852193995381	0	8.45786785909417E-09	1	Community 5
230	inter_2_PEOEVSA10*LPQ	0.0207852193995381	0	8.45786785909417E-09	1	Community 5
187	inter_2_slogPVSA5*MoreauBrotoAuto_Mutability29	0.0184757505773672	8.5535882302626E-06	1.53504446039503E-09	0.857142857142857	Community 6
8	AATS5s	0.0184757505773672	0.0191872371348563	0.00466969424100013	0.321428571428571	Community 4
100	inter_2_slogPVSA5*APV	0.0184757505773672	8.5535882302626E-06	1.53504446039503E-09	0.857142857142857	Community 6
244	inter_2_slogPVSA5*GearyAuto_ResidueVol19	0.0184757505773672	8.5535882302626E-06	1.53504446039503E-09	0.857142857142857	Community 6
239	inter_2_slogPVSA5*QSOgrant10	0.0184757505773672	8.5535882302626E-06	1.53504446039503E-09	0.857142857142857	Community 6
170	inter_2_slogPVSA5*466	0.0184757505773672	8.5535882302626E-06	1.53504446039503E-09	0.857142857142857	Community 6
269	inter_2_MRVSA5*TI	0.0161662817551963	0	1.11400658047436E-09	1	Community 8
167	inter_2_MRVSA5*MoranAuto_FreeEnergy24	0.0161662817551963	0	1.11400658047436E-09	1	Community 8
219	inter_2_MRVSA5*275	0.0161662817551963	0	1.11400658047436E-09	1	Community 8
263	inter_2_MRVSA5*KDR	0.0161662817551963	0	1.11400658047436E-09	1	Community 8
234	inter_2_MRVSA5*_SolventAccessibilityD1100	0.0161662817551963	0	1.11400658047436E-09	1	Community 8
213	inter_2_MRVSA5*QSOgrant33	0.0161662817551963	0	1.11400658047436E-09	1	Community 8
194	inter_2_MRVSA5*KRC	0.0161662817551963	0	1.11400658047436E-09	1	Community 8
66	AATS5pe	0.0161662817551963	0.00763407749550937	8.08771368129637E-05	0.476190476190476	Community 4
223	inter_2_MRVSA5*ITR	0.0161662817551963	0	1.11400658047436E-09	1	Community 8
11	AATS6s	0.0138568129330254	0.000418769423773273	8.20956995900737E-05	0.733333333333333	Community 4
280	inter_2_slogPVSA3*MoranAuto_ResidueASA5	0.0138568129330254	0	3.34934769152674E-10	1	Community 10
189	inter_2_VSAEstate7*MoranAuto_Polarizability5	0.0138568129330254	0	3.34934769152674E-10	1	Community 9
195	inter_2_VSAEstate7*GearyAuto_Steric14	0.0138568129330254	0	3.34934769152674E-10	1	Community 9
164	inter_2_VSAEstate7*SE	0.0138568129330254	0	3.34934769152674E-10	1	Community 9
243	inter_2_MRVSA6*RFT	0.0138568129330254	0	1.23455587736706E-09	1	Community 6
83	inter_2_VSAEstate7*_PolarityD1050	0.0138568129330254	0	3.34934769152674E-10	1	Community 9
116	inter_2_slogPVSA3*SVR	0.0138568129330254	0	3.34934769152674E-10	1	Community 10
80	AATS7pe	0.0138568129330254	0.00275853220425969	8.08556507601556E-05	0.666666666666667	Community 4
123	inter_2_MRVSA6*RR	0.0138568129330254	0	1.23455587736706E-09	1	Community 6
125	inter_2_PEOEVSA5*RP	0.0138568129330254	0	1.23455587736706E-09	1	Community 6
131	inter_2_slogPVSA3*GearyAuto_FreeEnergy9	0.0138568129330254	0	3.34934769152674E-10	1	Community 10
134	inter_2_MRVSA3*MoreauBrotoAuto_Hydrophobicity12	0.0138568129330254	0	3.34934769152674E-10	1	Community 10
135	inter_2_MRVSA3*MoreauBrotoAuto_AvFlexibility9	0.0138568129330254	0	3.34934769152674E-10	1	Community 10
29	AATS0s	0.0138568129330254	0.000418769423773273	8.20956995900737E-05	0.733333333333333	Community 4
241	inter_2_VSAEstate7*216	0.0138568129330254	0	3.34934769152674E-10	1	Community 9
207	inter_2_PEOEVSA5*MoreauBrotoAuto_Steric10	0.0138568129330254	0	1.23455587736706E-09	1	Community 6
206	inter_2_VSAEstate7*GearyAuto_Mutability21	0.0138568129330254	0	3.34934769152674E-10	1	Community 9
42	nG12FAHRing	0.0138568129330254	7.84078921107404E-05	2.53420286170095E-11	0.466666666666667	Community 7
256	inter_2_VSAEstate7*427	0.0138568129330254	0	3.34934769152674E-10	1	Community 9
262	inter_2_MRVSA3*636	0.0138568129330254	0	3.34934769152674E-10	1	Community 10
161	inter_2_slogPVSA3*QSOSW35	0.0138568129330254	0	3.34934769152674E-10	1	Community 10
199	inter_2_PEOEVSA8*GGS	0.0115473441108545	0	8.36448346079899E-11	1	Community 11
235	inter_2_slogPVSA11*_SolventAccessibilityD3100	0.0115473441108545	0	8.36448346079899E-11	1	Community 13
201	inter_2_VSAEstate2*IDP	0.0115473441108545	0	8.36448346079899E-11	1	Community 12
245	inter_2_VSAEstate2*LYL	0.0115473441108545	0	8.36448346079899E-11	1	Community 12
210	inter_2_PEOEVSA8*GearyAuto_FreeEnergy27	0.0115473441108545	0	8.36448346079899E-11	1	Community 11
257	inter_2_slogPVSA11*_PolarizabilityD2025	0.0115473441108545	0	8.36448346079899E-11	1	Community 13
427	Avalon_FP_380	0.0115473441108545	3.56399509594275E-05	2.31952097999048E-11	0.6	Community 7
246	inter_2_PEOEVSA8*LMI	0.0115473441108545	0	8.36448346079899E-11	1	Community 11
217	inter_2_VSAEstate9*VIS	0.0115473441108545	0	8.36448346079899E-11	1	Community 13
108	inter_2_PEOEVSA8*_PolarityD1075	0.0115473441108545	0	8.36448346079899E-11	1	Community 11
183	inter_2_PEOEVSA8*QSOSW37	0.0115473441108545	0	8.36448346079899E-11	1	Community 11
40	SsCl	0.0115473441108545	0	8.36448346079899E-11	1	Community 13
88	inter_2_VSAEstate2*MoreauBrotoAuto_Polarizability26	0.0115473441108545	0	8.36448346079899E-11	1	Community 12
96	inter_2_slogPVSA11*QSOgrant48	0.0115473441108545	0	8.36448346079899E-11	1	Community 13
140	inter_2_PEOEVSA8*MoreauBrotoAuto_Polarizability2	0.0115473441108545	0	8.36448346079899E-11	1	Community 11
148	inter_2_VSAEstate2*MoreauBrotoAuto_ResidueASA22	0.0115473441108545	0	8.36448346079899E-11	1	Community 12
64	IC3	0.0115473441108545	0	0.000833201511529468	1	Community 2
163	inter_2_VSAEstate2*MoreauBrotoAuto_Polarizability27	0.0115473441108545	0	8.36448346079899E-11	1	Community 12
182	inter_2_VSAEstate2*GearyAuto_ResidueVol22	0.0115473441108545	0	8.36448346079899E-11	1	Community 12
178	inter_2_VSAEstate9*MoreauBrotoAuto_Hydrophobicity24	0.0115473441108545	0	8.36448346079899E-11	1	Community 13
95	inter_2_PEOEVSA12*VSS	0.0092378752886836	0	1.62109293229058E-11	1	Community 14
62	AATS7dv	0.0092378752886836	0.00327174749807544	2.65799832618201E-06	0.333333333333333	Community 4
10	AATSC0c	0.0092378752886836	0	5.35345336119477E-06	1	Community 4
